station,valid,tmpc,relh,vsby,wet_bulb_temp,hour
VAPR,2012-04-18 09:20:00+05:30,19.0,45.6,5.59,12.262572353275338,9
VAPR,2012-04-18 10:20:00+05:30,20.0,37.32,5.59,11.931078059552714,10
VAPR,2012-04-25 15:20:00+05:30,16.0,44.76,5.59,9.641385671205546,15
VAPR,2012-04-26 07:20:00+05:30,9.0,76.01,2.49,6.5916161566257365,7
VAPR,2012-04-26 09:20:00+05:30,13.0,66.91,3.73,9.43710596019858,9
VAPR,2012-04-27 14:20:00+05:30,22.0,30.77,5.59,12.458753985102543,14
VAPR,2012-05-27 14:20:00+05:30,28.0,32.46,6.21,17.367248755888472,14
VAPR,2012-06-11 11:20:00+05:30,24.0,38.46,4.97,15.317074232638674,11
VAPR,2014-10-21 10:20:00+05:30,19.0,29.92,6.21,10.049103750735382,10
VAPR,2016-01-12 15:00:00+05:30,29.0,58.32,3.73,22.82562571842886,15
VAPR,2016-01-12 15:30:00+05:30,29.0,62.03,3.73,23.42139042804467,15
VAPR,2016-01-12 16:00:00+05:30,28.0,65.74,3.73,23.087446836244084,16
VAPR,2016-01-13 15:00:00+05:30,28.0,65.74,2.49,23.087446836244084,15
VAPR,2016-01-13 15:30:00+05:30,28.0,65.74,2.49,23.087446836244084,15
VAPR,2016-01-13 16:00:00+05:30,28.0,65.74,2.49,23.087446836244084,16
VAPR,2016-01-14 15:00:00+05:30,29.0,54.8,3.73,22.24793151602556,15
VAPR,2016-01-14 15:30:00+05:30,28.0,58.08,3.73,21.895029163267694,15
VAPR,2016-01-14 16:00:00+05:30,27.0,61.58,3.73,21.54153009417381,16
VAPR,2016-01-16 15:00:00+05:30,29.0,28.63,3.73,17.31193022767818,15
VAPR,2016-01-16 15:30:00+05:30,30.0,37.62,3.73,19.979337498264734,15
VAPR,2016-01-16 16:00:00+05:30,30.0,37.62,3.73,19.979337498264734,16
VAPR,2016-01-17 15:00:00+05:30,29.0,48.32,3.73,21.14608850418742,15
VAPR,2016-01-17 15:30:00+05:30,28.0,51.21,3.73,20.779464768809795,15
VAPR,2016-01-17 16:00:00+05:30,28.0,51.21,3.73,20.779464768809795,16
VAPR,2016-01-19 15:00:00+05:30,28.0,54.55,3.11,21.328155601804912,15
VAPR,2016-01-19 15:30:00+05:30,28.0,48.05,3.11,20.247612142434946,15
VAPR,2016-01-19 16:00:00+05:30,28.0,48.05,3.11,20.247612142434946,16
VAPR,2016-01-20 15:30:00+05:30,28.0,39.58,3.73,18.745599040753422,15
VAPR,2016-01-20 16:00:00+05:30,28.0,39.58,3.73,18.745599040753422,16
VAPR,2016-01-21 15:30:00+05:30,28.0,37.07,3.73,18.273956719320392,15
VAPR,2016-01-21 16:00:00+05:30,28.0,34.69,3.73,17.812940501150628,16
VAPR,2016-01-22 15:00:00+05:30,29.0,39.86,3.73,19.609651228797723,15
VAPR,2016-01-22 15:30:00+05:30,28.0,39.58,3.73,18.745599040753422,15
VAPR,2016-01-22 16:00:00+05:30,29.0,34.97,3.73,18.653506835536593,16
VAPR,2016-01-23 15:00:00+05:30,31.0,13.59,3.73,14.600799166657879,15
VAPR,2016-01-23 15:30:00+05:30,30.0,20.54,3.73,16.04774774945417,15
VAPR,2016-01-23 16:00:00+05:30,30.0,16.63,3.73,14.934389607186443,16
VAPR,2016-01-24 16:00:00+05:30,30.0,20.54,3.73,16.04774774945417,16
VAPR,2016-01-25 15:00:00+05:30,28.0,34.69,3.73,17.812940501150628,15
VAPR,2016-01-25 15:30:00+05:30,28.0,30.35,3.73,16.93180700884066,15
VAPR,2016-01-25 16:00:00+05:30,27.0,36.79,3.73,17.424581849816906,16
VAPR,2016-01-26 15:00:00+05:30,27.0,50.95,2.49,19.87247011460794,15
VAPR,2016-01-26 16:00:00+05:30,26.0,57.6,2.49,20.038972519028892,16
VAPR,2016-01-27 15:30:00+05:30,28.0,58.08,3.73,21.895029163267694,15
VAPR,2016-01-30 15:00:00+05:30,29.0,54.8,3.73,22.24793151602556,15
VAPR,2016-01-30 15:30:00+05:30,30.0,51.72,3.73,22.597901796610376,15
VAPR,2016-01-30 16:00:00+05:30,29.0,54.8,3.73,22.24793151602556,16
VAPR,2016-01-31 15:00:00+05:30,28.0,51.21,3.73,20.779464768809795,15
VAPR,2016-01-31 15:30:00+05:30,29.0,48.32,3.73,21.14608850418742,15
VAPR,2016-01-31 16:00:00+05:30,28.0,54.55,3.73,21.328155601804912,16
VAPR,2016-02-01 15:00:00+05:30,28.0,51.21,1.86,20.779464768809795,15
VAPR,2016-02-01 15:30:00+05:30,29.0,45.34,1.86,20.619330656150886,15
VAPR,2016-02-01 16:00:00+05:30,29.0,48.32,1.86,21.14608850418742,16
VAPR,2016-02-02 15:30:00+05:30,31.0,16.86,3.73,15.655023820256666,15
VAPR,2016-02-02 16:00:00+05:30,31.0,16.86,3.73,15.655023820256666,16
VAPR,2016-02-03 15:00:00+05:30,31.0,13.59,3.73,14.600799166657879,15
VAPR,2016-02-03 16:00:00+05:30,31.0,13.59,3.73,14.600799166657879,16
VAPR,2016-02-04 15:00:00+05:30,30.0,28.9,3.73,18.119769581746517,15
VAPR,2016-02-04 15:30:00+05:30,29.0,32.73,M,18.194284583318144,15
VAPR,2016-02-04 16:00:00+05:30,29.0,30.62,3.73,17.74747537240236,16
VAPR,2016-02-08 15:00:00+05:30,32.0,15.92,3.73,16.00497420909636,15
VAPR,2016-02-09 15:03:00+05:30,31.0,25.52,3.73,18.048330328361065,15
VAPR,2016-02-09 15:35:00+05:30,30.0,35.25,3.73,19.497078634592484,15
VAPR,2016-02-09 16:03:00+05:30,30.0,27.03,3.73,17.685767762731327,16
VAPR,2016-02-10 15:00:00+05:30,28.0,39.58,3.73,18.745599040753422,15
VAPR,2016-02-10 15:30:00+05:30,28.0,39.58,3.73,18.745599040753422,15
VAPR,2016-02-10 16:00:00+05:30,27.0,41.97,3.73,18.35937492168669,16
VAPR,2016-02-11 15:00:00+05:30,28.0,37.07,3.73,18.273956719320392,15
VAPR,2016-02-11 16:00:00+05:30,27.0,41.97,3.73,18.35937492168669,16
VAPR,2016-02-12 15:36:00+05:30,27.0,41.97,3.73,18.35937492168669,15
VAPR,2016-02-12 16:04:00+05:30,27.0,41.97,3.73,18.35937492168669,16
VAPR,2016-02-16 15:04:00+05:30,32.0,15.92,3.11,16.00497420909636,15
VAPR,2016-02-16 15:34:00+05:30,32.0,24.11,3.11,18.403870064666265,15
VAPR,2016-02-16 16:00:00+05:30,32.0,24.11,3.11,18.403870064666265,16
VAPR,2016-02-18 15:00:00+05:30,29.0,58.32,2.49,22.82562571842886,15
VAPR,2016-02-18 15:30:00+05:30,29.0,54.8,2.49,22.24793151602556,15
VAPR,2016-02-18 16:00:00+05:30,29.0,54.8,2.49,22.24793151602556,16
VAPR,2016-02-20 16:00:00+05:30,31.0,16.86,3.11,15.655023820256666,16
VAPR,2016-02-21 15:01:00+05:30,32.0,22.53,3.73,17.977313663099896,15
VAPR,2016-02-21 16:00:00+05:30,31.0,27.29,3.73,18.483873649020094,16
VAPR,2016-02-23 15:02:00+05:30,35.0,17.78,3.73,18.576404556699217,15
VAPR,2016-02-23 16:03:00+05:30,32.0,33.56,3.73,20.69804768777717,16
VAPR,2016-02-24 15:30:00+05:30,31.0,48.84,3.11,22.946120052783566,15
VAPR,2016-02-24 16:00:00+05:30,30.0,55.04,3.11,23.16788141869611,16
VAPR,2016-02-25 15:06:00+05:30,31.0,48.84,3.73,22.946120052783566,15
VAPR,2016-02-25 15:31:00+05:30,31.0,51.98,3.73,23.511017422185677,15
VAPR,2016-02-29 15:00:00+05:30,36.0,28.63,2.49,22.534235245848475,15
VAPR,2016-02-29 15:30:00+05:30,36.0,28.63,3.11,22.534235245848475,15
VAPR,2016-02-29 16:00:00+05:30,36.0,30.53,3.11,23.03784491793437,16
VAPR,2016-03-02 16:00:00+05:30,31.0,55.29,1.86,24.091350323445383,16
VAPR,2016-03-03 15:00:00+05:30,33.0,43.61,3.11,23.630514332589904,15
VAPR,2016-03-03 16:00:00+05:30,34.0,38.73,3.11,23.42556939828165,16
VAPR,2016-03-05 15:30:00+05:30,31.0,55.29,3.73,24.091350323445383,15
VAPR,2016-03-05 16:00:00+05:30,31.0,55.29,3.73,24.091350323445383,16
VAPR,2016-03-07 15:00:00+05:30,33.0,38.45,3.73,22.559340847364677,15
VAPR,2016-03-07 15:30:00+05:30,33.0,40.96,3.73,23.088692512975744,15
VAPR,2016-03-08 16:00:00+05:30,32.0,43.34,3.73,22.746412607358668,16
VAPR,2016-03-10 15:49:00+05:30,31.0,66.35,3.73,25.940786945139752,15
VAPR,2016-03-11 15:00:00+05:30,34.0,52.73,3.73,26.2568058237127,15
VAPR,2016-03-11 15:30:00+05:30,33.0,66.75,3.73,27.848284117936462,15
VAPR,2016-03-12 15:15:00+05:30,30.0,45.61,3.73,21.50799425238435,15
VAPR,2016-03-12 15:39:00+05:30,30.0,48.58,3.73,22.04502802923635,15
VAPR,2016-03-12 16:13:00+05:30,30.0,45.61,3.73,21.50799425238435,16
VAPR,2016-03-14 15:51:00+05:30,30.0,48.58,3.73,22.04502802923635,15
VAPR,2016-03-14 16:04:00+05:30,29.0,51.47,3.73,21.6885260854464,16
VAPR,2016-03-15 15:06:00+05:30,32.0,46.14,3.73,23.290446303794187,15
VAPR,2016-03-15 15:32:00+05:30,31.0,43.07,3.73,21.864750414090658,15
VAPR,2016-03-15 16:04:00+05:30,31.0,43.07,3.73,21.864750414090658,16
VAPR,2016-03-16 16:00:00+05:30,33.0,38.45,3.73,22.559340847364677,16
VAPR,2016-03-19 15:00:00+05:30,33.0,43.61,3.73,23.630514332589904,15
VAPR,2016-03-19 15:30:00+05:30,33.0,43.61,3.73,23.630514332589904,15
VAPR,2016-03-19 16:00:00+05:30,33.0,38.45,3.73,22.559340847364677,16
VAPR,2016-03-20 15:12:00+05:30,32.0,62.68,3.73,26.248247790462923,15
VAPR,2016-03-20 15:35:00+05:30,32.0,59.01,3.73,25.62239608162906,15
VAPR,2016-03-20 16:04:00+05:30,32.0,55.53,3.73,25.01489934810663,16
VAPR,2016-03-21 15:00:00+05:30,34.0,43.88,3.73,24.51703662543746,15
VAPR,2016-03-21 15:30:00+05:30,34.0,41.23,3.73,23.96391754936243,15
VAPR,2016-03-21 16:00:00+05:30,34.0,41.23,3.73,23.96391754936243,16
VAPR,2016-03-23 15:17:00+05:30,36.0,25.15,3.73,21.56269224426364,15
VAPR,2016-03-23 15:42:00+05:30,35.0,32.27,3.73,22.71494004667492,15
VAPR,2016-03-26 15:30:00+05:30,39.0,17.51,2.17,21.116950494836736,15
VAPR,2016-03-26 16:00:00+05:30,38.0,18.48,2.17,20.810631465294502,16
VAPR,2016-04-22 10:30:00+05:30,31.0,58.78,3.11,24.688523773926587,10
VAPR,2016-04-22 11:30:00+05:30,31.0,58.78,3.11,24.688523773926587,11
VAPR,2016-04-22 14:30:00+05:30,32.0,59.01,3.73,25.62239608162906,14
VAPR,2016-04-22 15:30:00+05:30,32.0,59.01,3.73,25.62239608162906,15
VAPR,2016-04-22 16:30:00+05:30,32.0,59.01,3.73,25.62239608162906,16
VAPR,2016-04-22 17:30:00+05:30,31.0,58.78,3.73,24.688523773926587,17
VAPR,2016-04-23 13:30:00+05:30,32.0,59.01,3.73,25.62239608162906,13
VAPR,2016-04-23 14:30:00+05:30,32.0,59.01,3.73,25.62239608162906,14
VAPR,2016-04-25 14:30:00+05:30,31.0,62.47,3.73,25.305624306474723,14
VAPR,2016-04-25 15:30:00+05:30,29.0,70.08,3.73,24.676373290171462,15
VAPR,2016-04-26 15:30:00+05:30,33.0,52.48,3.73,25.339612760587485,15
VAPR,2016-04-27 14:30:00+05:30,38.0,21.11,3.73,21.719225172588164,14
VAPR,2016-04-29 15:30:00+05:30,34.0,52.73,3.73,26.2568058237127,15
VAPR,2016-05-08 09:00:00+05:30,30.0,70.27,3.73,25.63783219371119,9
VAPR,2016-05-08 09:30:00+05:30,31.0,66.35,3.73,25.940786945139752,9
VAPR,2016-05-08 10:30:00+05:30,31.0,66.35,3.73,25.940786945139752,10
VAPR,2016-05-08 14:30:00+05:30,34.0,59.47,3.73,27.494943206875643,14
VAPR,2016-05-08 16:30:00+05:30,34.0,59.47,3.73,27.494943206875643,16
VAPR,2016-05-08 17:30:00+05:30,32.0,66.55,3.73,26.893910305362702,17
VAPR,2016-05-12 15:30:00+05:30,34.0,59.47,3.73,27.494943206875643,15
VAPR,2016-05-13 08:30:00+05:30,30.0,79.18,3.11,27.005810445208947,8
VAPR,2016-05-13 09:30:00+05:30,32.0,70.63,3.11,27.56090043371056,9
VAPR,2016-05-13 14:30:00+05:30,34.0,63.11,3.73,28.13940326521752,14
VAPR,2016-05-14 09:00:00+05:30,31.0,70.45,3.73,26.59883204078898,9
VAPR,2016-05-15 08:30:00+05:30,30.0,79.18,3.73,27.005810445208947,8
VAPR,2016-05-15 09:00:00+05:30,31.0,70.45,3.73,26.59883204078898,9
VAPR,2016-05-15 12:30:00+05:30,34.0,63.11,3.73,28.13940326521752,12
VAPR,2016-05-15 14:30:00+05:30,34.0,63.11,3.73,28.13940326521752,14
VAPR,2016-05-16 15:30:00+05:30,34.0,63.11,3.73,28.13940326521752,15
VAPR,2016-05-16 17:30:00+05:30,33.0,66.75,3.11,27.848284117936462,17
VAPR,2016-05-16 20:30:00+05:30,30.0,79.18,2.49,27.005810445208947,20
VAPR,2016-05-17 09:00:00+05:30,32.0,70.63,3.11,27.56090043371056,9
VAPR,2016-05-17 11:30:00+05:30,33.0,66.75,3.73,27.848284117936462,11
VAPR,2016-05-17 12:30:00+05:30,34.0,63.11,3.73,28.13940326521752,12
VAPR,2016-05-17 13:30:00+05:30,35.0,63.32,3.73,29.086203446783184,13
VAPR,2016-05-17 14:30:00+05:30,35.0,63.32,3.73,29.086203446783184,14
VAPR,2016-05-17 15:30:00+05:30,35.0,63.32,3.73,29.086203446783184,15
VAPR,2016-05-17 16:30:00+05:30,34.0,66.95,3.73,28.803902918664473,16
VAPR,2016-05-24 11:30:00+05:30,33.0,70.81,3.73,28.524033337689676,11
VAPR,2016-05-25 15:30:00+05:30,34.0,66.95,3.73,28.803902918664473,15
VAPR,2016-05-26 15:30:00+05:30,33.0,70.81,3.73,28.524033337689676,15
VAPR,2016-05-27 09:00:00+05:30,33.0,66.75,3.73,27.848284117936462,9
VAPR,2016-05-27 10:30:00+05:30,33.0,66.75,3.73,27.848284117936462,10
VAPR,2016-08-20 16:30:00+05:30,29.0,79.04,2.49,26.02716391515864,16
VAPR,2016-08-20 17:30:00+05:30,29.0,79.04,2.49,26.02716391515864,17
VAPR,2016-09-17 14:30:00+05:30,33.0,59.24,3.73,26.55787214007412,14
VAPR,2016-09-20 14:30:00+05:30,30.0,70.27,M,25.63783219371119,14
VAPR,2016-09-22 14:30:00+05:30,31.0,66.35,3.73,25.940786945139752,14
VAPR,2016-09-22 15:30:00+05:30,31.0,66.35,3.11,25.940786945139752,15
VAPR,2016-09-22 16:30:00+05:30,30.0,70.27,3.73,25.63783219371119,16
VAPR,2016-09-23 14:30:00+05:30,30.0,70.27,3.73,25.63783219371119,14
VAPR,2016-09-23 16:30:00+05:30,29.0,74.44,3.73,25.33875508016921,16
VAPR,2016-09-27 14:30:00+05:30,32.0,55.53,3.73,25.01489934810663,14
VAPR,2016-09-27 15:30:00+05:30,31.0,58.78,3.73,24.688523773926587,15
VAPR,2016-09-29 14:30:00+05:30,31.0,62.47,3.73,25.305624306474723,14
VAPR,2016-09-30 14:30:00+05:30,32.0,59.01,3.73,25.62239608162906,14
VAPR,2016-10-01 15:30:00+05:30,31.0,58.78,3.73,24.688523773926587,15
VAPR,2016-10-05 14:30:00+05:30,25.0,94.19,1.24,24.261887498868386,14
VAPR,2016-10-05 15:30:00+05:30,25.0,94.19,1.24,24.261887498868386,15
VAPR,2016-10-05 16:30:00+05:30,25.0,100.0,1.24,25.045575127179422,16
VAPR,2016-10-06 14:30:00+05:30,31.0,70.45,3.11,26.59883204078898,14
VAPR,2016-10-06 15:30:00+05:30,31.0,74.77,3.11,27.279730742801092,15
VAPR,2016-10-06 16:30:00+05:30,30.0,79.18,3.11,27.005810445208947,16
VAPR,2016-10-07 14:30:00+05:30,31.0,79.31,2.49,27.98366036380334,14
VAPR,2016-10-08 15:30:00+05:30,30.0,83.99,1.86,27.728473247309,15
VAPR,2016-10-08 16:30:00+05:30,30.0,83.99,1.86,27.728473247309,16
VAPR,2016-10-12 14:30:00+05:30,30.0,70.27,3.73,25.63783219371119,14
VAPR,2016-10-12 15:30:00+05:30,30.0,70.27,3.73,25.63783219371119,15
VAPR,2016-10-17 14:30:00+05:30,35.0,30.26,3.73,22.2105583143892,14
VAPR,2016-10-19 14:30:00+05:30,34.0,26.31,3.73,20.434350120961764,14
VAPR,2016-10-19 15:30:00+05:30,34.0,26.31,3.73,20.434350120961764,15
VAPR,2016-10-19 16:30:00+05:30,34.0,28.1,3.73,20.905699714404612,16
VAPR,2016-10-22 14:30:00+05:30,31.0,48.84,3.73,22.946120052783566,14
VAPR,2016-10-22 15:30:00+05:30,30.0,55.04,3.73,23.16788141869611,15
VAPR,2016-10-27 14:30:00+05:30,34.0,34.11,3.73,22.381652377422505,14
VAPR,2016-10-27 15:30:00+05:30,35.0,32.27,3.73,22.71494004667492,15
VAPR,2016-10-30 15:30:00+05:30,34.0,28.1,3.73,20.905699714404612,15
VAPR,2016-10-30 16:30:00+05:30,33.0,29.72,3.73,20.565477359579607,16
VAPR,2016-10-31 15:30:00+05:30,35.0,21.79,3.73,19.858391091234665,15
VAPR,2016-10-31 16:30:00+05:30,34.0,24.63,3.73,19.976292075545786,16
VAPR,2016-11-02 15:30:00+05:30,35.0,14.44,3.73,17.39562051820824,15
VAPR,2016-11-03 14:30:00+05:30,34.0,14.23,1.86,16.691870806457292,14
VAPR,2016-11-03 15:30:00+05:30,35.0,12.53,1.86,16.66427103706989,15
VAPR,2016-11-07 14:30:00+05:30,33.0,36.08,3.73,22.04334176383795,14
VAPR,2016-11-07 15:30:00+05:30,33.0,38.45,3.73,22.559340847364677,15
VAPR,2016-11-07 16:30:00+05:30,31.0,45.88,3.73,22.399010415550244,16
VAPR,2016-11-08 15:30:00+05:30,33.0,21.29,3.73,18.323011868001473,15
VAPR,2016-11-09 15:30:00+05:30,33.0,27.83,3.73,20.095054420837073,15
VAPR,2016-11-09 16:30:00+05:30,32.0,33.56,3.73,20.69804768777717,16
VAPR,2016-11-10 14:30:00+05:30,33.0,36.08,3.73,22.04334176383795,14
VAPR,2016-11-10 15:30:00+05:30,32.0,38.18,3.73,21.697972736173405,15
VAPR,2016-11-10 16:30:00+05:30,31.0,43.07,3.73,21.864750414090658,16
VAPR,2016-11-11 15:30:00+05:30,31.0,43.07,3.11,21.864750414090658,15
VAPR,2016-11-11 16:30:00+05:30,30.0,45.61,3.11,21.50799425238435,16
VAPR,2016-11-13 16:30:00+05:30,33.0,21.29,3.73,18.323011868001473,16
VAPR,2016-11-14 14:30:00+05:30,33.0,17.32,2.49,17.108030829412865,14
VAPR,2016-11-17 14:30:00+05:30,34.0,20.13,3.73,18.662107320572517,14
VAPR,2016-11-17 15:30:00+05:30,34.0,21.54,3.73,19.08887425738798,15
VAPR,2016-11-17 16:30:00+05:30,34.0,21.54,3.73,19.08887425738798,16
VAPR,2016-11-18 14:30:00+05:30,33.0,22.78,3.11,18.749142625810713,14
VAPR,2016-11-19 14:30:00+05:30,33.0,29.72,3.11,20.565477359579607,14
VAPR,2016-11-19 15:30:00+05:30,33.0,33.84,2.49,21.539499773362824,15
VAPR,2016-11-20 14:30:00+05:30,33.0,31.72,3.11,21.046529800237412,14
VAPR,2016-11-20 15:30:00+05:30,32.0,31.45,3.11,20.218156694070448,15
VAPR,2016-11-21 14:30:00+05:30,33.0,36.08,2.49,22.04334176383795,14
VAPR,2016-11-21 15:30:00+05:30,32.0,40.69,2.49,22.216011991461862,15
VAPR,2016-11-21 16:30:00+05:30,31.0,45.88,2.49,22.399010415550244,16
VAPR,2016-11-24 14:30:00+05:30,33.0,27.83,3.73,20.095054420837073,14
VAPR,2016-11-24 15:30:00+05:30,33.0,26.05,3.73,19.63644582947005,15
VAPR,2016-11-25 14:30:00+05:30,34.0,29.99,3.73,21.386425605117534,14
VAPR,2016-11-25 15:30:00+05:30,34.0,29.99,3.73,21.386425605117534,15
VAPR,2016-11-26 14:30:00+05:30,34.0,31.99,3.73,21.877978058204327,14
VAPR,2016-11-26 15:30:00+05:30,35.0,30.26,3.73,22.2105583143892,15
VAPR,2016-11-26 16:30:00+05:30,34.0,34.11,3.73,22.381652377422505,16
VAPR,2016-11-27 14:30:00+05:30,35.0,30.26,3.73,22.2105583143892,14
VAPR,2016-11-27 15:30:00+05:30,34.0,43.88,3.73,24.51703662543746,15
VAPR,2016-11-28 14:30:00+05:30,34.0,29.99,3.73,21.386425605117534,14
VAPR,2016-11-28 15:30:00+05:30,33.0,40.96,3.73,23.088692512975744,15
VAPR,2016-11-29 14:30:00+05:30,33.0,31.72,3.73,21.046529800237412,14
VAPR,2016-11-30 15:30:00+05:30,30.0,48.58,3.73,22.04502802923635,15
VAPR,2016-12-01 14:30:00+05:30,32.0,55.53,3.73,25.01489934810663,14
VAPR,2016-12-01 16:30:00+05:30,30.0,66.15,3.11,24.988919534254464,16
VAPR,2016-12-02 14:30:00+05:30,34.0,43.88,3.73,24.51703662543746,14
VAPR,2016-12-04 15:30:00+05:30,34.0,46.67,2.49,25.082007587840994,15
VAPR,2016-12-04 16:30:00+05:30,33.0,46.41,2.49,24.18607442330013,16
VAPR,2016-12-05 14:30:00+05:30,33.0,43.61,3.73,23.630514332589904,14
VAPR,2016-12-05 15:30:00+05:30,33.0,52.48,3.11,25.339612760587485,15
VAPR,2016-12-11 14:30:00+05:30,32.0,40.69,3.73,22.216011991461862,14
VAPR,2016-12-11 15:30:00+05:30,31.0,51.98,3.73,23.511017422185677,15
VAPR,2016-12-11 16:30:00+05:30,30.0,58.55,3.73,23.756264026926754,16
VAPR,2016-12-12 14:30:00+05:30,30.0,51.72,3.73,22.597901796610376,14
VAPR,2016-12-12 15:30:00+05:30,30.0,94.39,3.73,29.263900525369582,15
VAPR,2016-12-12 16:30:00+05:30,29.0,58.32,3.73,22.82562571842886,16
VAPR,2016-12-13 15:30:00+05:30,31.0,31.17,3.73,19.390627558651442,15
VAPR,2016-12-15 16:30:00+05:30,33.0,33.84,3.73,21.539499773362824,16
VAPR,2016-12-19 14:30:00+05:30,31.0,22.27,3.73,17.206389735549223,14
VAPR,2016-12-19 15:30:00+05:30,31.0,25.52,3.73,18.048330328361065,15
VAPR,2016-12-20 14:30:00+05:30,31.0,23.85,3.73,17.622992328100327,14
VAPR,2016-12-20 15:30:00+05:30,31.0,23.85,3.73,17.622992328100327,15
VAPR,2016-12-20 16:30:00+05:30,31.0,25.52,3.73,18.048330328361065,16
VAPR,2016-12-21 14:30:00+05:30,32.0,22.53,3.73,17.977313663099896,14
VAPR,2016-12-25 14:30:00+05:30,32.0,11.09,3.73,14.310604748215727,14
VAPR,2016-12-26 16:30:00+05:30,31.0,10.91,3.73,13.653918552904326,16
VAPR,2016-12-26 17:30:00+05:30,30.0,12.44,3.73,13.59833844445004,17
VAPR,2016-12-27 15:30:00+05:30,30.0,30.9,3.11,18.568545762864527,15
VAPR,2016-12-27 16:30:00+05:30,29.0,37.35,2.49,19.126218190840188,16
VAPR,2016-12-28 14:30:00+05:30,32.0,17.09,3.11,16.37958530436715,14
VAPR,2016-12-28 15:30:00+05:30,32.0,17.09,3.11,16.37958530436715,15
VAPR,2016-12-28 16:30:00+05:30,29.0,45.34,1.86,20.619330656150886,16
VAPR,2016-12-29 14:30:00+05:30,33.0,15.05,3.11,16.352121284542974,14
VAPR,2016-12-30 14:30:00+05:30,31.0,33.29,2.49,19.861847683022773,14
VAPR,2016-12-30 15:30:00+05:30,30.0,37.62,2.49,19.979337498264734,15
VAPR,2016-12-31 14:30:00+05:30,30.0,48.58,3.73,22.04502802923635,14
VAPR,2016-12-31 16:30:00+05:30,28.0,58.08,3.73,21.895029163267694,16
VAPR,2017-01-01 14:30:00+05:30,30.0,40.14,1.86,20.476424786245826,14
VAPR,2017-01-02 14:30:00+05:30,32.0,13.8,2.49,15.292639085807746,14
VAPR,2017-01-03 16:30:00+05:30,28.0,45.07,3.11,19.73303753601753,16
VAPR,2017-01-04 14:30:00+05:30,31.0,20.79,3.73,16.80240834622196,14
VAPR,2017-01-04 16:30:00+05:30,29.0,39.86,3.11,19.609651228797723,16
VAPR,2017-01-05 15:30:00+05:30,28.0,48.05,3.11,20.247612142434946,15
VAPR,2017-01-05 16:30:00+05:30,27.0,54.3,3.11,20.410261511087565,16
VAPR,2017-01-06 14:30:00+05:30,28.0,61.81,3.11,22.48148123266215,14
VAPR,2017-01-07 14:30:00+05:30,28.0,58.08,3.73,21.895029163267694,14
VAPR,2017-01-07 16:30:00+05:30,27.0,47.79,3.73,19.353063681038027,16
VAPR,2017-01-08 14:30:00+05:30,26.0,24.19,3.11,14.139148623517642,14
VAPR,2017-01-08 16:30:00+05:30,26.0,24.19,2.49,14.139148623517642,16
VAPR,2017-01-09 14:30:00+05:30,25.0,27.53,2.49,14.110371228993511,14
VAPR,2017-01-12 14:30:00+05:30,27.0,13.75,3.73,12.172740753830361,14
VAPR,2017-01-12 15:30:00+05:30,27.0,10.16,3.73,11.056659046217145,15
VAPR,2017-01-13 14:30:00+05:30,28.0,15.03,3.73,13.175993321564015,14
VAPR,2017-01-15 15:30:00+05:30,29.0,28.63,2.49,17.31193022767818,15
VAPR,2017-01-16 14:30:00+05:30,28.0,32.46,3.73,17.367248755888472,14
VAPR,2017-01-16 16:30:00+05:30,28.0,39.58,3.73,18.745599040753422,16
VAPR,2017-01-17 14:30:00+05:30,27.0,26.22,3.73,15.305104552886302,14
VAPR,2017-01-17 16:30:00+05:30,27.0,26.22,3.73,15.305104552886302,16
VAPR,2017-01-18 15:30:00+05:30,28.0,23.07,3.73,15.30214474783418,15
VAPR,2017-01-18 16:30:00+05:30,28.0,28.36,3.73,16.507435625323186,16
VAPR,2017-01-19 14:30:00+05:30,28.0,24.72,3.11,15.691470010078397,14
VAPR,2017-01-19 16:30:00+05:30,28.0,26.49,3.11,16.095137940339015,16
VAPR,2017-01-20 14:30:00+05:30,27.0,34.41,2.49,16.97540739476917,14
VAPR,2017-01-20 15:30:00+05:30,28.0,32.46,2.49,17.367248755888472,15
VAPR,2017-01-26 14:30:00+05:30,28.0,37.07,2.49,18.273956719320392,14
VAPR,2017-01-26 15:30:00+05:30,28.0,42.25,2.49,19.23279507595301,15
VAPR,2017-02-01 14:30:00+05:30,31.0,29.18,3.73,18.933258730774114,14
VAPR,2017-02-02 14:30:00+05:30,32.0,25.79,3.73,18.841928943862825,14
VAPR,2017-02-03 15:30:00+05:30,29.0,39.86,3.73,19.609651228797723,15
VAPR,2017-02-04 14:30:00+05:30,27.0,61.58,3.73,21.54153009417381,14
VAPR,2017-02-04 15:30:00+05:30,28.0,58.08,3.73,21.895029163267694,15
VAPR,2017-02-05 16:30:00+05:30,24.0,46.98,3.73,16.67805191317238,16
VAPR,2017-02-06 14:30:00+05:30,27.0,17.14,3.73,13.122345750815022,14
VAPR,2017-02-06 15:30:00+05:30,27.0,21.25,3.73,14.165505245631667,15
VAPR,2017-02-07 14:30:00+05:30,28.0,20.04,3.73,14.549914991662636,14
VAPR,2017-02-07 15:30:00+05:30,28.0,24.72,3.73,15.691470010078397,15
VAPR,2017-02-09 14:30:00+05:30,29.0,11.35,3.73,12.627879929519668,14
VAPR,2017-02-09 15:30:00+05:30,30.0,13.38,3.73,13.912992037040375,15
